,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
4879,Saints Row IV,PS4,2015.0,Action,Deep Silver,0.13,0.18,0.03,0.06,0.39,,,,,,
4886,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.12,0.2,0.02,0.06,0.39,,,,,,
4940,MLB 15: The Show,PS3,2015.0,Sports,Sony Computer Entertainment,0.31,0.01,0.0,0.07,0.39,,,8.2,6.0,SCEA San Diego Studios,E
4988,Rock Band 4,PS4,2015.0,Misc,Harmonix Music Systems,0.26,0.05,0.0,0.07,0.38,78.0,51.0,6.3,87.0,Harmonix Music Systems,T
5072,Farming Simulator 2015,PS3,2015.0,Simulation,Koch Media,0.11,0.2,0.0,0.06,0.37,,,,,,
5123,Destiny: The Taken King,PS3,2015.0,Shooter,Activision,0.17,0.11,0.02,0.06,0.37,,,5.5,81.0,Bungie,T
5124,Skylanders: SuperChargers,PS3,2015.0,Action,Activision,0.16,0.15,0.0,0.06,0.37,,,4.2,6.0,Vicarious Visions,E10+
5188,Sword Art Online: Lost Song,PSV,2015.0,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03,0.36,70.0,4.0,7.1,27.0,"Bandai Namco Games, Artdink",T
5215,Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,10.0,6.8,20.0,Ubisoft,E10+
5255,Farming Simulator 2015,PS4,2015.0,Simulation,Koch Media,0.1,0.2,0.0,0.06,0.35,,,,,,
5261,Farming Simulator 2015,X360,2015.0,Simulation,Koch Media,0.22,0.11,0.0,0.03,0.35,,,,,,
5295,Football Manager 2016,PC,2015.0,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,Sega,E
5309,Destiny: The Taken King,X360,2015.0,Shooter,Activision,0.24,0.08,0.0,0.03,0.35,,,4.4,59.0,"Bungie Software, Bungie",T
5403,Disney Infinity 3.0,XOne,2015.0,Action,Disney Interactive Studios,0.2,0.11,0.0,0.03,0.34,,,,,,
5420,Dead or Alive 5,PS4,2015.0,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.34,,,,,,
5428,Disney Magic World 2,3DS,2015.0,Action,Nintendo,0.02,0.11,0.19,0.01,0.34,,,,,,
5502,Dragon Ball Z: Extreme Butoden,3DS,2015.0,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,61.0,32.0,6.6,32.0,Arc System Works,T
5564,Hatsune Miku: Project Mirai DX,3DS,2015.0,Misc,Sega,0.16,0.04,0.1,0.02,0.32,80.0,32.0,8.5,71.0,Sega,E10+
5565,Just Dance 2016,XOne,2015.0,Misc,Ubisoft,0.25,0.04,0.0,0.03,0.32,66.0,10.0,6.1,18.0,Ubisoft,E10+
5583,Dragon Ball: XenoVerse,XOne,2015.0,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03,0.32,67.0,18.0,7.2,128.0,Dimps Corporation,T
5607,Just Dance 2016,X360,2015.0,Misc,Ubisoft,0.23,0.05,0.0,0.03,0.32,,,6,5.0,Ubisoft,E10+
5630,Persona 4: Dancing All Night,PSV,2015.0,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32,76.0,51.0,8.6,83.0,"Atlus, Dingo Inc.",T
5672,Rise of the Tomb Raider,X360,2015.0,Adventure,Square Enix,0.18,0.11,0.0,0.03,0.32,,,7.5,178.0,Nixxes Software,M
5746,Tropico 5,PS4,2015.0,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31,76.0,17.0,7.1,110.0,Haemimont,T
5753,Skylanders: SuperChargers,PS4,2015.0,Action,Activision,0.17,0.08,0.0,0.05,0.31,81.0,51.0,3.3,29.0,Vicarious Visions,E10+
5816,DmC: Devil May Cry,PS4,2015.0,Action,Capcom,0.12,0.13,0.0,0.05,0.31,,,,,,
5989,Deadpool,PS4,2015.0,Action,Activision,0.14,0.11,0.0,0.05,0.29,60.0,11.0,5.7,68.0,High Moon Studios,M
6014,Resident Evil: Revelations 2,PS3,2015.0,Action,Capcom,0.06,0.05,0.16,0.02,0.29,,,6.8,48.0,Capcom,M
6057,Disgaea 5: Alliance of Vengeance,PS4,2015.0,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29,80.0,43.0,8.1,173.0,Nippon Ichi Software,T
6095,Battlefield: Hardline,X360,2015.0,Shooter,Electronic Arts,0.17,0.09,0.0,0.03,0.28,,,4.1,65.0,Visceral Games,M
6114,Divinity: Original Sin,PS4,2015.0,Role-Playing,Focus Home Interactive,0.1,0.12,0.02,0.04,0.28,,,,,,
6173,Payday 2,PS4,2015.0,Shooter,505 Games,0.1,0.14,0.0,0.05,0.28,,,,,,
6281,Guitar Hero Live,PS3,2015.0,Misc,Activision,0.11,0.12,0.0,0.04,0.27,,,5.1,22.0,"Activision, FreeStyleGames",T
6323,Rory McIlroy PGA Tour,XOne,2015.0,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27,60.0,26.0,4.3,77.0,EA Tiburon,E
6449,Tearaway Unfolded,PS4,2015.0,Platform,Sony Computer Entertainment,0.09,0.13,0.0,0.04,0.26,81.0,70.0,8.1,188.0,Media Molecule,E
6462,J Stars Victory Vs.,PS4,2015.0,Fighting,Namco Bandai Games,0.08,0.14,0.0,0.04,0.26,,,,,,
6464,Call of Duty: Black Ops 3,PC,2015.0,Shooter,Activision,0.0,0.25,0.0,0.01,0.26,,,,,,
6493,Project CARS,XOne,2015.0,Racing,Slightly Mad Studios,0.11,0.13,0.0,0.02,0.26,81.0,16.0,5.8,135.0,Slightly Mad Studios,E
6593,One Piece: Pirate Warriors 3,PS3,2015.0,Action,Namco Bandai Games,0.0,0.06,0.19,0.01,0.25,,,3.7,7.0,Omega Force,T
6602,Final Fantasy Type-0,XOne,2015.0,Role-Playing,Square Enix,0.16,0.07,0.0,0.02,0.25,,,,,,
6630,The Legend of Legacy,3DS,2015.0,Role-Playing,FuRyu,0.12,0.01,0.1,0.02,0.25,67.0,31.0,7.1,54.0,FuRyu,E10+
6657,Anno 2205,PC,2015.0,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25,72.0,45.0,5.9,278.0,Blue Byte,E10+
6700,Shin Megami Tensei x Fire Emblem,WiiU,2015.0,Role-Playing,Nintendo,0.12,0.05,0.06,0.02,0.25,,,,,,
6702,Yakuza Zero: The Place of Oath,PS3,2015.0,Action,Sega,0.0,0.0,0.25,0.0,0.25,,,,,,
6757,Sword Art Online: Lost Song,PS4,2015.0,Role-Playing,Namco Bandai Games,0.1,0.11,0.0,0.04,0.25,63.0,32.0,6.3,60.0,"Bandai Namco Games, Artdink",T
6759,F1 2015,XOne,2015.0,Racing,Codemasters,0.08,0.15,0.0,0.02,0.25,64.0,13.0,5.3,22.0,Codemasters,E
6770,Stella Glow,3DS,2015.0,Role-Playing,Atlus,0.16,0.01,0.05,0.02,0.24,79.0,32.0,8.7,82.0,"Image Epoch, Imageepoch",T
6788,Skylanders: SuperChargers,XOne,2015.0,Action,Activision,0.17,0.05,0.0,0.02,0.24,76.0,15.0,5.5,17.0,Vicarious Visions,E10+
6826,Chibi-Robo! Zip Lash,3DS,2015.0,Platform,Nintendo,0.09,0.08,0.06,0.02,0.24,,,,,,
6829,Total War: Attila,PC,2015.0,Strategy,Sega,0.09,0.13,0.0,0.02,0.24,80.0,66.0,7.3,520.0,Creative Assembly,T
6868,Dragon Ball: XenoVerse,X360,2015.0,Fighting,Namco Bandai Games,0.17,0.04,0.0,0.02,0.24,,,6.7,46.0,Dimps Corporation,T
6878,Etrian Mystery Dungeon,3DS,2015.0,Role-Playing,Nippon Ichi Software,0.09,0.01,0.13,0.01,0.24,77.0,44.0,7.9,49.0,Spike Chunsoft,E10+
6946,Girls Mode 3: Kirakira Code,3DS,2015.0,Action,Nintendo,0.0,0.0,0.23,0.0,0.23,,,,,,
7039,Tom Clancy's Rainbow Six: Siege,PC,2015.0,Shooter,Ubisoft,0.13,0.08,0.0,0.02,0.23,79.0,37.0,6.9,734.0,Ubisoft Montreal,M
7072,Transformers: Devastation,PS4,2015.0,Action,Activision,0.1,0.09,0.0,0.04,0.23,77.0,50.0,7.5,160.0,PlatinumGames,T
7086,Dark Souls II,XOne,2015.0,Role-Playing,Namco Bandai Games,0.14,0.07,0.0,0.02,0.23,,,,,,
7114,Guitar Hero Live,X360,2015.0,Misc,Activision,0.13,0.08,0.0,0.02,0.23,,,5.5,19.0,Activision,T
7125,LEGO Jurassic World,PSV,2015.0,Action,Warner Bros. Interactive Entertainment,0.05,0.13,0.0,0.05,0.22,,,7.6,11.0,TT Games,E10+
7160,Darksiders II,PS4,2015.0,Action,Nordic Games,0.09,0.1,0.0,0.04,0.22,,,,,,
7172,Ride,PS4,2015.0,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.22,66.0,30.0,7,47.0,Milestone S.r.l,E
7206,The Sims 4: Get Together,PC,2015.0,Simulation,Electronic Arts,0.05,0.15,0.0,0.02,0.22,72.0,16.0,7.3,117.0,Maxis,T
7338,Code Name: S.T.E.A.M.,3DS,2015.0,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.21,69.0,69.0,7.7,125.0,Intelligent Systems,T
7358,LEGO Ninjago: Shadow of Ronin,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.04,0.01,0.21,,,tbd,,TT Fusion,E10+
7384,Assassin's Creed Syndicate,PC,2015.0,Action,Ubisoft,0.11,0.09,0.0,0.02,0.21,74.0,14.0,5.9,544.0,Ubisoft Quebec,M
7417,State of Decay,XOne,2015.0,Strategy,Microsoft Game Studios,0.14,0.05,0.0,0.02,0.21,,,,,,
7480,Tony Hawk's Pro Skater 5,PS4,2015.0,Sports,Activision,0.09,0.08,0.0,0.03,0.21,32.0,43.0,1.5,427.0,Robomodo,T
7514,Saints Row IV,XOne,2015.0,Action,Deep Silver,0.1,0.09,0.0,0.02,0.2,,,,,,
7540,Zombie Army Trilogy,PS4,2015.0,Shooter,Rebellion Developments,0.05,0.12,0.0,0.03,0.2,62.0,26.0,6.8,88.0,Rebellion,
7576,FIFA 16,PC,2015.0,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,10.0,4.4,296.0,EA Sports,E
7640,Dying Light,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,75.0,40.0,7.9,1295.0,Techland,M
7673,Farming Simulator 2015,XOne,2015.0,Simulation,Koch Media,0.1,0.08,0.0,0.02,0.2,,,,,,
7760,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015.0,Action,Capcom,0.0,0.0,0.19,0.0,0.19,,,,,,
7773,Just Dance 2016,PS3,2015.0,Misc,Ubisoft,0.1,0.06,0.0,0.03,0.19,,,4.2,6.0,Ubisoft,E10+
7811,Guitar Hero Live,WiiU,2015.0,Misc,Activision,0.12,0.05,0.0,0.02,0.19,84.0,4.0,6.1,36.0,"Activision, FreeStyleGames",T
7844,God Eater Resurrection,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,8.8,17.0,"Shift, Bandai Namco Games",T
7875,Evolve,PC,2015.0,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,39.0,4.3,969.0,Turtle Rock Studios,M
7883,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,,,
8031,Metal Gear Solid V: The Phantom Pain,X360,2015.0,Action,Konami Digital Entertainment,0.12,0.04,0.0,0.02,0.18,,,7.2,159.0,"Kojima Productions, Moby Dick Studio",M
8058,Saint Seiya: Soldiers' Soul,PS4,2015.0,Fighting,Namco Bandai Games,0.0,0.12,0.04,0.02,0.18,59.0,30.0,7.8,45.0,Dimps Corporation,T
8092,Senran Kagura: Estival Versus,PSV,2015.0,Action,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,71.0,4.0,7.4,34.0,Marvelous Inc.,M
8141,Payday 2,XOne,2015.0,Shooter,505 Games,0.09,0.07,0.0,0.02,0.18,,,,,,
8144,Senran Kagura: Estival Versus,PS4,2015.0,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18,67.0,25.0,8,96.0,Marvelous Inc.,M
8191,Back to the Future: The Game,PS4,2015.0,Adventure,Telltale Games,0.1,0.05,0.0,0.03,0.18,,,7.1,18.0,Telltale Games,T
8199,NBA Live 16,PS4,2015.0,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.18,59.0,27.0,6.1,70.0,EA Sports,E
8209,Yakuza Zero: The Place of Oath,PS4,2015.0,Action,Sega,0.0,0.0,0.17,0.0,0.17,,,,,,
8243,MotoGP 15,PS4,2015.0,Racing,Milestone S.r.l.,0.0,0.12,0.03,0.02,0.17,66.0,15.0,,,Milestone S.r.l,
8250,Toukiden Kiwami,PS4,2015.0,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,74.0,35.0,7.6,74.0,Koei Tecmo Games,T
8327,Project X Zone 2: Brave New World,3DS,2015.0,Role-Playing,Namco Bandai Games,0.05,0.03,0.08,0.01,0.17,,,,,,
8349,Digimon Story: Cyber Sleuth,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,8.8,92.0,Media Vision,T
8368,Bladestorm: Nightmare,PS4,2015.0,Action,Tecmo Koei,0.08,0.04,0.03,0.02,0.17,58.0,33.0,6.5,21.0,Omega Force,T
8422,Mobile Suit Gundam: Extreme VS Force,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,57.0,25.0,7.3,15.0,Bandai Namco Games,E10+
8435,NASCAR '15,X360,2015.0,Sports,Deep Silver,0.15,0.0,0.0,0.02,0.17,,,3.8,6.0,DMi Games,E
8447,One Piece: Pirate Warriors 3,PSV,2015.0,Action,Namco Bandai Games,0.0,0.03,0.13,0.01,0.17,76.0,4.0,6.3,17.0,Omega Force,T
8454,7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,26.0,8.2,38.0,Sega,T
8519,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015.0,Simulation,Marvelous Entertainment,0.05,0.0,0.1,0.01,0.16,72.0,28.0,6.8,15.0,Marvelous Inc.,E10+
8745,Wolfenstein: The Old Blood,XOne,2015.0,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,75.0,23.0,8,101.0,MachineGames,
8761,Theatrhythm Dragon Quest,3DS,2015.0,Misc,Square Enix,0.0,0.0,0.15,0.0,0.15,,,,,,
8813,Tokyo Xanadu,PSV,2015.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.15,0.0,0.15,,,,,,
8821,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,
8845,Pro Baseball Spirits 2015,PS3,2015.0,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,,,
8881,Dishonored,XOne,2015.0,Action,Bethesda Softworks,0.09,0.05,0.0,0.01,0.15,,,,,,
8907,Sumikko Gurashi: Omise Hajimerundesu,3DS,2015.0,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,,,,,,
8942,Skylanders: SuperChargers,Wii,2015.0,Action,Activision,0.02,0.12,0.0,0.01,0.15,,,,,,
9013,BlazBlue: Chrono Phantasma Extend,PS4,2015.0,Action,PQube,0.07,0.03,0.02,0.02,0.14,80.0,10.0,7.7,31.0,Arc System Works,T
9025,Famista Returns,3DS,2015.0,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,
9038,Just Cause 3,PC,2015.0,Action,Square Enix,0.03,0.11,0.0,0.01,0.14,74.0,50.0,5.3,529.0,Avalanche Studios,M
9136,Cities: Skylines,PC,2015.0,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14,85.0,60.0,8.9,1404.0,Colossal Order,E
9144,Shovel Knight,3DS,2015.0,Platform,Yacht Club Games,0.08,0.04,0.02,0.01,0.14,90.0,9.0,8.2,225.0,Yacht Club Games,E
9168,Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015.0,Action,Capcom,0.0,0.0,0.14,0.0,0.14,,,,,,
9208,Transformers: Devastation,XOne,2015.0,Action,Activision,0.09,0.04,0.0,0.01,0.14,75.0,25.0,7.9,55.0,PlatinumGames,T
9233,DmC: Devil May Cry,XOne,2015.0,Action,Capcom,0.08,0.04,0.0,0.01,0.14,,,,,,
9238,Battlefield: Hardline,PC,2015.0,Shooter,Electronic Arts,0.0,0.13,0.0,0.01,0.14,71.0,31.0,3.8,773.0,Visceral Games,M
9242,Brothers: A Tale of Two Sons,PS4,2015.0,Adventure,505 Games,0.03,0.08,0.0,0.02,0.14,81.0,10.0,8.6,73.0,Starbreeze,T
9368,Pro Baseball Spirits 2015,PSV,2015.0,Action,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,,,,,,
9413,Super Robot Wars BX,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
9426,Gravity Rush Remastered,PS4,2015.0,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,80.0,62.0,8.2,153.0,Bluepoint Games,T
9448,Hasbro Family Fun Pack,XOne,2015.0,Misc,Ubisoft,0.1,0.02,0.0,0.01,0.13,,,tbd,,Ubisoft,E10+
9461,Batman: Arkham Knight,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,70.0,14.0,2.5,1967.0,"Rocksteady Studios, Iron Galaxy Studios",M
9500,Final Fantasy XIV: Heavensward,PS4,2015.0,Action,Square Enix,0.0,0.06,0.06,0.01,0.13,86.0,20.0,7.6,225.0,Square Enix,T
9539,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
9643,Project CARS,PC,2015.0,Racing,Slightly Mad Studios,0.0,0.12,0.0,0.01,0.13,83.0,48.0,7.1,418.0,Slightly Mad Studios,E
9654,Deadpool,XOne,2015.0,Action,Activision,0.09,0.03,0.0,0.01,0.12,,,5.7,23.0,High Moon Studios,M
9767,Don Bradman Cricket 14,PS4,2015.0,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.12,76.0,4.0,7.4,19.0,Big Ant Studios,E
9771,Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015.0,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75.0,32.0,8.1,47.0,Gust,
9781,Sword Art Online: Hollow Fragment,PS4,2015.0,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.12,,,,,,
9826,Shin Megami Tensei: Devil Survivor 2,3DS,2015.0,Role-Playing,Atlus,0.0,0.02,0.09,0.0,0.12,,,,,,
9853,Tony Hawk's Pro Skater 5,XOne,2015.0,Sports,Activision,0.09,0.02,0.0,0.01,0.12,39.0,18.0,2.1,132.0,Robomodo,T
9855,Rodea the Sky Soldier,WiiU,2015.0,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12,45.0,31.0,6.5,81.0,"Prope, Kadokawa",E10+
9869,Skylanders: SuperChargers,3DS,2015.0,Action,Activision,0.05,0.06,0.0,0.01,0.12,,,tbd,,Vicarious Visions,E10+
9923,Samurai Warriors 4-II,PS4,2015.0,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73.0,26.0,7.3,24.0,Omega Force,T
10016,Rugby 15,PS4,2015.0,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11,19.0,5.0,3.4,65.0,HB Studios Multimedia,E
10065,Samurai Warriors 4-II,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,,,tbd,,Omega Force,T
10080,Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,,,,,,
10149,LEGO Ninjago: Shadow of Ronin,PSV,2015.0,Action,Warner Bros. Interactive Entertainment,0.01,0.08,0.0,0.02,0.11,70.0,5.0,tbd,,TT Fusion,E10+
10189,PriPara Mezase! Idol Grand Prix No.1!,3DS,2015.0,Misc,Takara Tomy,0.0,0.0,0.11,0.0,0.11,,,,,,
10199,Valkyrie Drive: Bhikkhuni,PSV,2015.0,Action,PQube,0.0,0.03,0.07,0.01,0.11,72.0,7.0,8.5,11.0,Marvelous Inc.,M
10233,Yomawari,PSV,2015.0,Adventure,Nippon Ichi Software,0.02,0.02,0.06,0.01,0.11,,,,,,
10253,Wasteland 2,PS4,2015.0,Role-Playing,Deep Silver,0.08,0.0,0.02,0.02,0.11,,,,,,
10279,Picross 3D 2,3DS,2015.0,Puzzle,Nintendo,0.0,0.0,0.11,0.0,0.11,,,,,,
10298,NBA Live 16,XOne,2015.0,Sports,Electronic Arts,0.09,0.01,0.0,0.01,0.11,60.0,17.0,5.6,62.0,EA Sports,E
10317,Zombie Army Trilogy,XOne,2015.0,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.11,62.0,10.0,7.2,40.0,Rebellion,
10327,God Eater 2: Rage Burst,PS4,2015.0,Role-Playing,Namco Bandai Games,0.0,0.01,0.09,0.0,0.11,69.0,35.0,8,79.0,Shift,T
10344,Pro Evolution Soccer 2016,XOne,2015.0,Sports,Konami Digital Entertainment,0.04,0.06,0.0,0.01,0.11,85.0,14.0,6.2,144.0,Konami,E
10421,Taiko no Tatsujin: V Version,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,,,,,,
10453,Wasteland 2,PC,2015.0,Role-Playing,inXile Entertainment,0.03,0.06,0.0,0.01,0.1,81.0,65.0,7.3,1170.0,InXile Entertainment,M
10516,Ride,XOne,2015.0,Racing,Milestone S.r.l.,0.04,0.05,0.0,0.01,0.1,54.0,9.0,5.3,17.0,Milestone S.r.l,E
10606,Resident Evil: Revelations 2,PSV,2015.0,Action,Capcom,0.0,0.03,0.07,0.01,0.1,65.0,12.0,7.8,63.0,Frima Studio,M
10621,Resident Evil: Revelations 2,XOne,2015.0,Action,Capcom,0.07,0.02,0.0,0.01,0.1,75.0,22.0,7.5,106.0,Capcom,M
10631,Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015.0,Action,D3Publisher,0.0,0.0,0.1,0.0,0.1,,,,,,
10644,Sword Art Online: Lost Song,PS3,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,,,,,,
10689,NBA 2K16,PC,2015.0,Sports,Take-Two Interactive,0.03,0.06,0.0,0.01,0.1,,,5.7,65.0,2K Sports,E10+
